trial,label,response,outcome,rt_from_appearance,rt_from_inner_boundary,response_phase
1,SAFE,THREAT,FALSE_ALARM,0.6420000000000005,,outer
2,THREAT,SAFE,MISS,0.5800000000000004,,outer
3,SAFE,THREAT,FALSE_ALARM,0.7150000000000005,,outer
4,SEAGULL,SEAGULL,GULL_HIT,0.7140000000000005,,outer
5,SAFE,SAFE,CORRECT_REJECT,0.6810000000000005,,outer
6,THREAT,THREAT,HIT,0.6140000000000004,,outer
7,SAFE,THREAT,FALSE_ALARM,0.5960000000000004,,outer
8,THREAT,THREAT,HIT,1.3769999999999987,,outer
9,THREAT,SAFE,MISS,1.0720000000000003,,outer
10,THREAT,SAFE,MISS,0.8160000000000006,,outer
11,SAFE,SAFE,CORRECT_REJECT,1.0720000000000003,,outer
12,SAFE,SAFE,CORRECT_REJECT,0.8530000000000006,,outer
13,THREAT,THREAT,HIT,0.7500000000000006,,outer
14,SEAGULL,SEAGULL,GULL_HIT,0.7320000000000004,,outer
15,THREAT,THREAT,HIT,1.0220000000000007,,outer
16,SAFE,SAFE,CORRECT_REJECT,1.2749999999999992,,outer
17,SEAGULL,SEAGULL,GULL_HIT,0.7470000000000006,,outer
18,SAFE,SAFE,CORRECT_REJECT,0.6630000000000005,,outer
19,SAFE,THREAT,FALSE_ALARM,0.9000000000000007,,outer
20,THREAT,THREAT,HIT,0.6470000000000005,,outer
21,SAFE,SAFE,CORRECT_REJECT,0.9700000000000008,,outer
22,THREAT,THREAT,HIT,0.8150000000000006,,outer
23,THREAT,THREAT,HIT,0.9530000000000007,,outer
24,SAFE,SAFE,CORRECT_REJECT,0.7480000000000006,,outer
25,THREAT,THREAT,HIT,0.7630000000000006,,outer
26,SEAGULL,SEAGULL,GULL_HIT,0.8840000000000007,,outer
27,THREAT,SAFE,MISS,0.7140000000000005,,outer
28,THREAT,SAFE,MISS,1.5479999999999978,,outer
29,SAFE,SAFE,CORRECT_REJECT,0.7480000000000006,,outer
30,THREAT,THREAT,HIT,0.6460000000000005,,outer
31,THREAT,THREAT,HIT,0.8170000000000006,,outer
32,THREAT,THREAT,HIT,0.7670000000000006,,outer
33,SEAGULL,SEAGULL,GULL_HIT,0.7990000000000006,,outer
34,SAFE,SAFE,CORRECT_REJECT,0.8010000000000005,,outer
35,THREAT,SAFE,MISS,0.8680000000000007,,outer
36,THREAT,THREAT,HIT,0.5460000000000004,,outer
37,SAFE,SAFE,CORRECT_REJECT,0.9210000000000006,,outer
38,SAFE,SAFE,CORRECT_REJECT,0.7490000000000006,,outer
39,THREAT,THREAT,HIT,0.9700000000000008,,outer
40,THREAT,THREAT,HIT,1.325999999999999,,outer
41,SAFE,SAFE,CORRECT_REJECT,1.1899999999999997,,outer
42,THREAT,THREAT,HIT,1.0050000000000008,,outer
43,THREAT,THREAT,HIT,1.3779999999999986,,outer
44,THREAT,THREAT,HIT,1.2579999999999993,,outer
45,THREAT,THREAT,HIT,1.0560000000000005,,outer
46,SAFE,SAFE,CORRECT_REJECT,1.2589999999999992,,outer
47,SAFE,SAFE,CORRECT_REJECT,1.0540000000000005,,outer
48,SAFE,SAFE,CORRECT_REJECT,0.8340000000000006,,outer
49,SEAGULL,SEAGULL,GULL_HIT,0.6130000000000004,,outer
50,SAFE,SAFE,CORRECT_REJECT,1.2569999999999992,,outer
51,SAFE,SAFE,CORRECT_REJECT,0.6110000000000004,,outer
52,SAFE,SAFE,CORRECT_REJECT,0.7140000000000005,,outer
53,SAFE,THREAT,FALSE_ALARM,0.5260000000000004,,outer
54,SAFE,SAFE,CORRECT_REJECT,0.5110000000000003,,outer
55,THREAT,SAFE,MISS,1.2419999999999993,,outer
56,SAFE,SAFE,CORRECT_REJECT,1.0210000000000006,,outer
57,THREAT,THREAT,HIT,1.3099999999999992,,outer
58,SAFE,SAFE,CORRECT_REJECT,1.0880000000000003,,outer
59,SEAGULL,SAFE,GULL_MISS,1.2059999999999995,,outer
60,SEAGULL,SAFE,GULL_MISS,0.6300000000000004,,outer
61,THREAT,THREAT,HIT,0.40900000000000025,,outer
62,SAFE,THREAT,FALSE_ALARM,0.6120000000000004,,outer
63,SAFE,SEAGULL,GULL_FALSE_ALARM,0.3400000000000002,,outer
64,SEAGULL,SEAGULL,GULL_HIT,0.9360000000000007,,outer
65,THREAT,THREAT,HIT,0.8020000000000006,,outer
66,THREAT,SAFE,MISS,0.7650000000000006,,outer
67,SAFE,SAFE,CORRECT_REJECT,1.7189999999999968,,outer
68,SAFE,,NR,,,inner
69,SAFE,THREAT,FALSE_ALARM,0.3400000000000002,,outer
70,SAFE,SAFE,CORRECT_REJECT,0.5960000000000004,,outer
71,THREAT,THREAT,HIT,0.8500000000000006,,outer
72,THREAT,SAFE,MISS,1.0390000000000004,,outer
73,THREAT,THREAT,HIT,1.1260000000000001,,outer
74,THREAT,THREAT,HIT,0.5440000000000004,,outer
75,SAFE,THREAT,FALSE_ALARM,0.6470000000000004,,outer
76,SAFE,SAFE,CORRECT_REJECT,0.7650000000000005,,outer
77,SAFE,SAFE,CORRECT_REJECT,1.528999999999998,,outer
78,SEAGULL,SEAGULL,GULL_HIT,1.7659999999999965,,outer
79,SAFE,THREAT,FALSE_ALARM,0.5790000000000004,,outer
80,SEAGULL,SEAGULL,GULL_HIT,0.9340000000000007,,outer
81,THREAT,SAFE,MISS,0.6120000000000004,,outer
82,THREAT,THREAT,HIT,0.5110000000000003,,outer
83,SAFE,SAFE,CORRECT_REJECT,0.5620000000000003,,outer
84,SAFE,THREAT,FALSE_ALARM,0.5960000000000004,,outer
85,THREAT,THREAT,HIT,0.5440000000000004,,outer
86,SEAGULL,SAFE,GULL_MISS,0.5610000000000004,,outer
87,THREAT,THREAT,HIT,0.8170000000000006,,outer
88,THREAT,THREAT,HIT,0.9520000000000007,,outer
89,THREAT,SAFE,MISS,0.5620000000000004,,outer
90,THREAT,THREAT,HIT,0.9190000000000007,,outer
91,SAFE,SAFE,CORRECT_REJECT,0.8160000000000006,,outer
92,SAFE,THREAT,FALSE_ALARM,1.3439999999999988,,outer
93,SAFE,SAFE,CORRECT_REJECT,0.6470000000000004,,outer
94,SAFE,THREAT,FALSE_ALARM,1.312999999999999,,outer
95,THREAT,SAFE,MISS,1.4979999999999982,,outer
96,THREAT,THREAT,HIT,0.5460000000000004,,outer
